No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
30,Praktis dan cepat,Practical and fast,netral,netral,positif
31,Aplikasi buruk ribet,"Bad application, complicated",negatif,negatif,negatif
32,Makin baik ajah pelayanan go mobile nya,The go mobile service is getting better,positif,positif,positif
33,"Saya sudah lama menggunakan aplikasi ini, dari pemakaian awal sampai sekarang terdapat beberapa penambahan fitur menarik. Namun, sejak update terakhir. Ketika saya sudah logout dan hendak menutup aplikasi dengan menekan tombol back, bukannya menutup aplikasi melainkan mundur ke halaman sebelumnya padahal sudah dilogout (statusnya tetap logout tapi menampilkan halaman sebelumnya). Meski masih bisa menutup aplikasi dengan tombol home, tapi ini agak mengganggu saya","I have been using this application for a long time, from initial use until now there have been several interesting feature additions. However, since the last update. When I have logged out and want to close the application by pressing the back button, instead of closing the application it goes back to the previous page even though it has already been logged out (the status remains logged out but displays the previous page). Even though you can still close apps with the home button, this annoys me a bit",negatif,netral,netral
34,Sangat memuaskan,Very satisfactory,positif,positif,positif
35,"TOLONG DI PERBAIKI JARINGAN NYA MASAK LOGIN MESTI PAKAI DATA, PAKAI WIFI MENTAL TERUS / KELUAR TERUS DR APK.","PLEASE FIX THE NETWORK, LOGIN MUST USE DATA, USE WIFI MENTAL CONTINUOUSLY/CONTINUOUSLY EXIT FROM APK.",positif,netral,negatif
36,Cukup praktis dan simple,Quite practical and simple,netral,netral,netral
37,Aplikasi Octo mobile membantu saya dalam transaksi.. terima kasih,The Octo mobile application helped me with transactions... thank you,positif,netral,positif
38,"Operasionalnya mudah, proses transaksi cepat dan banyak produk perbankan yg bisa diakses secara digital","Operations are easy, transaction processes are fast and many banking products can be accessed digitally",positif,netral,positif
39,"Disaat mau dipake buat bayar, sering kali ada perbaikan, bikin gak nyaman karena gak bisa digunakan saat ada perbaikan bgst","When you want to use it to pay, there are often repairs, which makes it uncomfortable because you can't use it when there are major repairs",negatif,netral,negatif
40,"Saya membuka rekening berhasil tapi tidak bisa login, passcode tidak masuk padahal kartu SIM sudah di SIM1 pulsa juga ada","I opened the account successfully but couldn't log in, the passcode didn't enter even though the SIM card was already in SIM1 and there was also credit",positif,netral,negatif
41,Penggunaan aplikasi yg sangat mudah,Very easy to use application,positif,positif,positif
42,"oke, lancar pembayaran apapun. terima kasih.","okay, smooth any payment. Thank You.",positif,positif,positif
43,Good,Good,positif,positif,positif
44,Cepat dan aman,Fast and safe,positif,positif,positif
45,Cukup mudah dan sangat membantu terimakasih,"Quite easy and very helpful, thank you",positif,positif,positif
46,Mantp,Mantp,netral,netral,positif
47,"Aplikasi bodoh bukannya bikin simpel malah bikin kartu lama aktifnya, karna harus nunggu kartu debit datang Ngirimnya juga gak niat, gak ada resi sama lacak pengiriman Yang mau daftar lewat ini aplikasi AWAS NYESEL","Instead of making it simple, this stupid application actually makes the card take a long time to activate, because you have to wait for the debit card to arrive. You also don't intend to send it, there is no receipt or delivery tracking. Those who want to register via this application CAUTION MISS IT",negatif,netral,negatif
48,Aplikasi Mobile perbankan terbusuk yg pernah ada. Sulit banget login ketika di butuhkan. Selalu muncul pop up perangkat tidak mendukung. Padahal mobile banking bank lain aman saja.,The worst mobile banking application ever. It's really difficult to log in when you need it. The device not supported pop up always appears. Even though other banks' mobile banking is safe.,negatif,netral,negatif
49,Aman dan lancar,Safe and smooth,positif,positif,positif
50,Mantap,Great,positif,positif,positif
51,Oke baik,"Ok, fine",positif,positif,positif
52,Bagus,Good,positif,positif,positif
53,Bagus,Good,positif,positif,positif
54,CIMB niaga harus meningkatkan layanan cs 14041 nya. Proses menunggu di CS selalu lama sekali.. harus menghabiskan banyak pulsa hanya untuk proses perubahan data alamat. Dijanjikan akan di telpon kembali. Tapi tidak di telpon2. Kecewaa,CIMB Niaga must improve its CS 14041 service. The waiting process at CS always takes a long time... you have to spend a lot of credit just to process address data changes. Promised to call back. But not on the phone. Disappointed,negatif,netral,negatif
55,"Aplikasi cukup membantu, pembayaran wifi, listrik, tranfer beda bank atau sesama cimb","The application is quite helpful, paying for WiFi, electricity, transfers between banks or CIMB",positif,netral,positif
56,Mantap,Great,positif,positif,positif
57,Lebih baik dari sblmnya...,Better than before...,positif,positif,positif
58,"Ruat biasa, mudah bingit dan lancar jaya","It's normal, it's easy to get confused and it's successful",positif,positif,positif
59,"Aplikasi yang jarang sekali update , terima kasih","An application that rarely updates, thank you",negatif,netral,positif
60,bagus,Good,positif,positif,positif
61,ga jelas sering force close eror mulu,"It's not clear, there are often force close errors",negatif,netral,negatif
62,Bagus sekali dan memudahkan,Very good and easy,positif,positif,positif
63,"Aplikasi nya error di android, padahal udah pake android terbaru, mau masuk apllikasi malah nge bug keluar sendiri. Perbaikin dong bug nya","The application has an error on Android, even though I'm using the latest Android, when I want to enter the application the bug exits itself. Please fix the bug",netral,netral,negatif
64,Joss gandos,Joss gandos,netral,netral,positif
65,Sangat membantu sekali buat transaksi dimanapun kapanpun ok bangeeeeet ðŸ‘ðŸ‘ðŸ‘,"Very helpful for transactions anywhere at any time, really 👍👍👍",positif,netral,positif
66,Good,Good,positif,positif,positif
67,Mau login aja di persulit ngetot Niat bikin apk ga tolol,Just wanting to log in makes it difficult to insist. The intention to make an apk is not stupid,positif,netral,negatif
68,bagusss,nice,positif,positif,positif
69,"Selalu error, sangat tidak praktis dan sangat mengganggu transaksi saya. Tolong diperbaiki.","Always errors, very impractical and really disrupts my transactions. Please fix it.",netral,netral,negatif
70,Mantabbb,Mantabbb,netral,netral,positif
71,Cepat dan mantap,Fast and steady,netral,netral,positif
72,Nunggu pas code ampe memble,Wait for the code to arrive,netral,netral,negatif
73,Good job,Good job,positif,positif,positif
74,Mau masuk susah padahal id sudah bener,It's difficult to log in even though the ID is correct,negatif,netral,negatif
75,"Teruntuk app ini. Mohon maaaf ya mengapa begitu rumitnya,dan mengapa begitu banyak kendala yang saya temukan.saya make ini utk lebih mudah namun yg saya dpt sangatlah susah susah susah susah susah.","For this app. I'm sorry why it's so complicated, and why I found so many obstacles. I used this to make it easier but what I got was very difficult, difficult, difficult, difficult.",negatif,netral,negatif
76,MENU XTRA KASBON DI ATM CIMB NIAGA SUDAH TIDAK ADA LAGI ?,IS THE XTRA KASBON MENU AT CIMB NIAGA ATMS NO LONGER?,negatif,netral,netral
77,Gogogo,Gogogo,netral,netral,positif
78,Gampang transaksi nya,It's easy to make a transaction,positif,positif,positif
79,Mantap,Great,positif,positif,positif
80,Bagus lengkap,Good complete,positif,positif,positif
81,mantap,solid,positif,positif,positif
82,"Alhamdulillah duit sy balik lagi, seminggu lebih akhirnya kembali lagi,tolong di perbaiki supaya tidak merugikan pelanggan setia CIMB niaga, terimakasih","Alhamdulillah my money is back again, it's been more than a week and it's finally back again, please fix it so it doesn't harm CIMB niaga's loyal customers, thank you",positif,netral,netral
83,Mudah dan biaya admin gratis..,Easy and free admin fees..,positif,positif,positif
84,Terima kasih banyak Untuk kemudahannya,Thank you very much for the convenience,positif,positif,positif
85,Mantap,Great,positif,positif,positif
86,mudah d gunakan,easy to use,positif,positif,positif
87,"Force close,, kirain dah update hilang force close nya","Force close, I thought the update had lost the force close",negatif,netral,negatif
88,Bagus.bntg 3 dulu klo + bgus tak ksh bntg 5 nanti,"Good. Warn 3 first if it's + it's good, don't tell 5 later",positif,netral,positif
89,Nice,Nice,positif,positif,positif
90,"males mau bikin aja, dibikin susah nyari nama id nya..","I'm too lazy to make one, it makes it difficult to find the ID name...",negatif,netral,negatif
91,"octo mobile,memberikan pelayanan yg sangat istimewa bagi konsumen,octo mobile mengutamakan kepuasan,keamanan","octo mobile, provides very special service for consumers, octo mobile prioritizes satisfaction and security",positif,positif,positif
92,Sukses untuk octo mobile by cimb niaga,Success for octo mobile by Cimb Niaga,positif,positif,positif
93,Akses cepat dan sangat senang bisa bertransaksi transfer biaya 0,Fast access and very happy to be able to make 0 fee transfer transactions,positif,netral,positif
94,"Setelah di update software nya, di xiaomi note 5 pro kok, bermasalah","After updating the software, there was a problem on the Xiaomi Note 5 Pro",negatif,netral,netral
95,good,good,positif,positif,positif
96,Mantap Luar Biasa Transaksi mudah pake octo mobile,"Great, Extraordinary Easy transactions using octo mobile",positif,positif,positif
97,Aplikasi bank paling ribet,The most complicated bank application,netral,netral,negatif
98,"Kagak bisa banget di andelin lu ada acara rekening yang ada saldoan memuat mulu giliran saldo yang kosong normal"" kocak ni octomobile ada aja kendala nya kalo lagi di butuhin lama lama pindah gua keseringan gangguan mulu lu","You can't really handle it, there's an event where an account that has a balance is loading, then the balance is empty, it's normal"" this is funny, the octomobile has problems, if you need it for a long time to move, I often get troubled, you always",negatif,netral,negatif
99,"Lumayan, gak kalah sama mobile banking bank bumn","Not bad, not inferior to state-owned bank mobile banking",positif,negatif,netral
100,"Sangat tidak recomendasi, untuk pendaftaran nomer masih bisa menerima passcode, dan saat untuk log in sama sekali tidak dapat menerima passcode , dan setelah saya tanya keluhan kepada CS alasannya nomer terblokir wkwkwkwk Tanpa sebab dan alasan yg jelas bisa bisanya tiba"" terblokir.. Mobile banking harusnya mempermudah transaksi dll kalo octo mobile mempersulit semua tra nsaksi ,jangankan transaksi login saja tidak bisa.... Saya kasih bintang minus 10 ðŸ˜","Highly not recommended, for registration the number can still receive the passcode, and when logging in it can't receive the passcode at all, and after I asked CS for a complaint the reason the number was blocked hahaha Without a clear cause or reason it usually arrived ""blocked... Mobile banking It should make transactions easier, etc. If Octo Mobile makes all transactions difficult, let alone login transactions, it doesn't work... I give it minus 10 stars 😝",negatif,netral,negatif
101,Keren,Keren,netral,netral,positif
102,Ok,Ok,positif,positif,netral
103,"Pelayanan baik,semakin mudah pakai CIMB niaga,","Good service, easier to use CIMB Niaga,",positif,positif,positif
104,mudah simpel dan praktis,"easy, simple and practical",positif,positif,positif
105,Saya mau buka blokirn user id susah nya mintak ampun,"I want to unblock the user id, it's hard to ask for forgiveness",positif,netral,negatif
106,Mantap sekali,Very good,positif,positif,positif
107,Mudah dan cepat di gunakan di semua akses pembayaran ðŸ‘,Easy and fast to use for all payment access 👍,positif,netral,positif
108,"Ga jadi bintang 5,di update malah ga bisa di buka aplikasinya padahal udh terbaru trus,udh email ikutin petunjuk tetep aja ga bisa di buka aplikasinya, Slalu ada keterangan ""permintaan anda tidak dapat di proses""... Hp di root pun tidak masa ga bisa di buka....perbaiki lagi aplikasinya biar kaya smula....udah di email lagi dan balasanya suruh ganti/install di perangkat lain/device lain, sama disuruh pake Octo click ribetin aja","Didn't get 5 stars, when updated, I couldn't even open the application even though it was the latest, then, after emailing, following the instructions, I still couldn't open the application. There was always a statement ""Your request couldn't be processed""... The phone didn't even need to be rooted. Can't open it....repair the application so it's as good as before....I've emailed again and the reply is telling me to replace/install it on another device/another device, and I'm told to use Octo, just click on it and it's complicated.",positif,netral,negatif
109,error woy gagal code 14,error woy gagal code 14,negatif,negatif,negatif
110,"APK GAJELAS KODE OTP GA MASUK,APK ANJ MENDING PAKE DANA,GOPAY,OVO,DARIPADA APK INI NGIRIM KODENYA KEK MANUAL GA OTOMATIS DELAYNYA LAMA BGT JGN PERNAH DOWLOAND APLIKASI INI!!!!","APK IS NOT CLEAR, OTP CODE DOESN'T ENTER, THE APP IS BETTER TO USE DANA, GOPAY, OVO, THAN THIS APK SENDS THE CODE MANUALLY, NOT AUTOMATICALLY, THE DELAY IS SO LONG, DON'T EVER DOWLOAND THIS APPLICATION!!!!",positif,netral,negatif
111,Lawak scam katanya kalau daftar lewat exis/XL dapat pulsa 30k tetapi udh lebih dari 9 hari pulsanya belum masuk ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,The scam joke says that if you register via exis/XL you get 30k credit but it's been more than 9 days and the credit hasn't arrived 😂😂😂😂,positif,netral,negatif
112,Nice APP ðŸ˜‡,Nice APP 😇,positif,positif,positif
113,Mantap dan mudah..,Great and easy..,positif,positif,positif
114,"Bagus,, tapi jgn sering Upgrade dong","Good, but don't upgrade often, please",negatif,positif,positif
115,Pembayaran Kartu Kredit CIMB NIAGA masih harus input No.CC Harusnya sdh ada record CC nya,CIMB NIAGA Credit Card payments still require input CC No. There must be a CC record,positif,netral,netral
116,"Transaksi pake octo mobile sangat mudah tanpa ribet, transfer gratis ke semua bank ðŸ‘","Transactions using octo mobile are very easy without any hassle, free transfers to all banks 👍",positif,positif,positif
117,Good,Good,positif,positif,positif
118,Sangat membantu,Very helpful,positif,positif,positif
119,Safety first,Safety first,positif,positif,positif
120,pulsanya gak masuk masuk udah 8 hari penipuan,"the credit hasn't come in, it's been 8 days of fraud",negatif,netral,negatif
121,Sangat mudah digunakan,Very easy to use,positif,positif,positif
122,"Login sekarang susah, Gak kaya dulu, Sms otp ga muncul muncul pulsa ada padahal","It's difficult to log in now, it's not like it used to be, the OTP SMS doesn't appear, it shows there is credit even though",negatif,netral,negatif
123,Mantap...proses cepat,Great...fast process,netral,positif,positif
124,Praktis mantab,Practically good,positif,positif,positif
125,Mudah dan cepat,Easy and fast,positif,positif,positif
126,Terima Kasih,Thank You,positif,positif,positif
127,"adanya itikad tidak baik.. melakukan pemblokiran rekening secara sepihak oleh bank, hanya karena terlambat membayar cc. sudah pengaduan 14041 via email tapi tidak kunjung diselesaikan, ditelepon malah disuruh dilunasin semua.","there is bad faith... blocking the account unilaterally by the bank, just because it was late in paying CC. I have complained 14041 via email but it hasn't been resolved, I called them instead they told me to pay everything.",negatif,netral,negatif
128,Top.. the best of mobile banking in Indonesia bestlah pokoknya,Top.. the best of mobile banking in Indonesia is the best,positif,positif,positif
129,Ditingkatkan lagi untuk fitur nya,Further improvements to its features,positif,positif,positif
130,Aplikasi makin GK jelas...BKN mmpermudah...malah mempersulit!!!,The application is becoming increasingly NOT clear...BKN makes it easier...even makes it more difficult!!!,negatif,netral,negatif
131,Saya suka karena ada pilihan Tabungan tidak ada biaya admin setiap bulannya,I like it because there is a savings option with no admin fees every month,positif,netral,positif
132,Berfungsi dengan baik. Tingkatkan lagi koneksinya untuk gamenya keluar-keluar terus.,Works fine. Improve the connection so that the game continues out and out.,positif,netral,netral
133,Mantappp dan sukses selalu amanah dan bermanfaat selalu buat orang banyakðŸ¥°,"Great and successful, always trustworthy and always useful for many people🥰",positif,positif,positif
134,Mantap CIMB selalu di hati,CIMB is always in my heart,netral,netral,positif
135,sekarang octo mobil cimb payah... td nya sisa saldo 50.000 aja masih bisa tranfers 30.000 sekarang mau tranfers aja sudah gk bisa payah... minimal sisa saldo 20.000.sekarang sudah gk bisa.,"now octo mobile CIMB sucks... previously the remaining balance was only 50,000, you could still transfer 30,000, now you can't even make a transfer... the minimum remaining balance is 20,000. now you can't.",netral,netral,negatif
136,Mau bikin rekening aja susah ditolak udah vc ditaiyain npwp orang gk punya .alasan data gk komplit mungkin karna pekerjaan cm irt yg pemasukan y gak seberapa,"Even if you want to create an account, it's hard to be rejected, when VC asks for your NPWP, the person doesn't have one. The reason the data isn't complete is probably because of the CM IRT job, which doesn't earn much income.",negatif,netral,negatif
137,Simple,Simple,netral,netral,positif
138,"Ok, good","Ok, good",positif,positif,positif
139,"Setiap hari pake octo selalu lancarrr poll, udah buka rekening lebih dari 1 dan overall oke untuk manage pengeluaran dll. Sangat baik","Every day I use Octo, I always poll smoothly, have opened more than 1 account and overall it's okay for managing expenses, etc. Very good",positif,netral,positif
140,Good bgtt,Good bgtt,positif,positif,positif
141,"Transfer byfast sangat membantu kami sebagai conter jasa transfer, karena cimb mengenakan biaya gratis, CIMB THE BEST","Bi fast transfer really helps us as a transfer service counter, because CIMB charges free fees, CIMB THE BEST",positif,positif,positif
142,"Bank paling ngeselin gw buka ni apk di 2 hp (Oppo Reno 2z) dan (redmi 9a) kaga ada yang support, nyesel gw nabung di sini untung masih baru dan belum nyelam lebih jauh","The most annoying bank I opened was this apk on 2 cellphones (Oppo Reno 2z) and (Redmi 9a) no one supported it, I regretted saving here luckily it's still new and haven't dived any further",negatif,netral,negatif
143,bermanfaat,beneficial,positif,positif,netral
144,Mantabs sih.. Semoga aman,That's great... I hope it's safe,positif,positif,netral
145,Baik,Good,positif,positif,netral
146,"Aplikasi ga jelas mau login nunggu otp ga dapatÂ². Kocak sinyal g bagus gimana,, buat youtube,, download aja lancar,,","The application is not clear, I want to log in and wait for the OTP, I can't get it. It's funny how the signal isn't good... for YouTube... just download it smoothly...",positif,netral,negatif
147,Terima Kasih,Thank You,positif,positif,positif
148,mantap...diberikan akses sangat mudah...terimakasih,great... given very easy access... thank you,positif,positif,positif
149,terus berinovasi untuk mempermudah layanan nya.. tampilan baru nya seru memudahkan dan menarik di lihat.. makin suka dengan aplikasi skrg,"continues to innovate to make the service easier.. the new appearance is exciting, easy and interesting to look at.. I like the application even more now",positif,positif,positif
150,payah mau login susah,it's hard to log in,negatif,netral,negatif
151,aplikasi makin ok trima kasih oktoðŸ™,"the application is getting better, thank you October🙏",positif,positif,positif
152,"Belum bisan di gunakan Padah hp saya udah sesuai spesifikasi, tapi tidak bisa di gunakan di hp redmi note 9. Kecewa","Can't use it yet. On my cellphone it meets the specifications, but it can't be used on my Redmi Note 9 cellphone. Disappointed",negatif,netral,negatif
153,Simple dan fungsional,Simple and functional,netral,netral,positif
154,Nice nice nice,Nice nice nice,positif,positif,positif
155,Aplikasi eror tolong donk perbaiki,"Application error, please fix it",negatif,netral,negatif
156,Bagus,Good,positif,positif,positif
157,Lumayan membantu,Quite helpful,positif,positif,positif
158,Nice,Nice,positif,positif,positif
159,Good,Good,positif,positif,positif
160,Sangat bagus sangat membantu,Very good very helpful,positif,positif,positif
161,lebih mudah di gunakan di bamding pertama update,Easier to use than Pertamax update,positif,positif,positif
162,Sangat baik,Very good,positif,positif,positif
163,Sangat membantu sekali...,Very helpful...,netral,positif,positif
164,Top up dana bisa pending sampe 1 hari lebih.dan via chat tidak menyelesaikan masalah.makin males aja ini pake rekpon,Top up funds can be pending for more than 1 day. And via chat doesn't solve the problem. It's even more lazy to use response.,negatif,netral,negatif
165,Aplikasi mudah di gunakan,The application is easy to use,positif,positif,positif
166,"Tolong hapus data saya, karena setiap login di mintai code, sedangkan saya tidak di kirim code setiap mau login, jgn cuma manfaatin data orang yaðŸ™","Please delete my data, because every time I log in I'm asked for a code, but I'm not sent a code every time I want to log in, don't just use other people's data okay🙏",positif,netral,negatif
167,Semoga selalu gratis utk transfer ke semua bank dan tanpa biaya untuk top up gopay dan Shopee.,Hopefully it will always be free for transfers to all banks and no fees for top ups on Gopay and Shopee.,positif,netral,positif
168,Slalu keluar otomatis.. bikin keki.. ðŸ‘Ž,Always comes out automatically.. makes me chuckle.. 👎,netral,netral,negatif
169,Oke banget qris,Very good qris,positif,positif,positif
170,Bagus,Good,positif,positif,positif
171,Mantappp,Great,positif,positif,positif
172,Kenapa setiap buka octo mobile selalu gak bisa logh out trs kl tlp cs kita butuh waktu lama dan makan pulsa....tlg kl buat aplikasi itu yg bs d pakek trs jgn sering eror.... Tlg segera d benerin dan yg profesional kl krj supaya costumer gak lari k bank lain...makasih ( sampe skrg pyku gak bisa di buka ),Why is it that every time you open Octo Mobile you can't log out and when you call CS it takes a long time and it takes up credit... please make an application that can be used and don't have frequent errors... Please fix it immediately and professionally. work so that customers don't run to other banks... thanks (until now I can't open my phone),positif,netral,negatif
173,Mantap dan sangat membantu dalam bertransaksi,Great and very helpful in transactions,positif,positif,positif
174,Sistem buruk... Pelayanan lambat.. jauh buat berkembang dan bersaing dengan perbankan lainnya,Bad system... Slow service.. Far from developing and competing with other banks,negatif,netral,negatif
175,Sering nyangkut uang..gk ada penanganan,Money often gets stuck...no handling,netral,negatif,negatif
176,"Bank unik,dengan saldo yg sudah ditentukan dan tidak kena potongan admin memang benar, tapi saat terima bunga Setiap bulan,malah dipotong bunganya... kwkwkwkwk..aneh bunga dipotong,...wah wah...mantap banknya","It's a unique bank, with a predetermined balance and not subject to admin deductions. It's true, but when you receive interest every month, you actually deduct the interest... hahaha..it's strange that the interest is deducted,...wow, wow...what a great bank",positif,positif,netral
177,Susah login Masuk bentar log out sendiri,It's hard to log in. Just log out yourself,negatif,netral,negatif
178,Mantap,Great,positif,positif,positif
179,Best,Best,positif,positif,positif
180,jelek code pw lama,bad old pw code,negatif,negatif,negatif
181,Ribet,Complicated,netral,netral,negatif
182,sangat praktis sekali,very practical,netral,netral,positif
183,Rusak2 octo mobile ni pengisian saldo gopay uda mau 2hari dalam proses saya email malah jadi ribet harus nunggu 3 januari 2024 sakit sakit ini mah bukan mempermudah transaksi malah memperlambat transaksi,"This octo mobile is broken, topping up my Gopay balance took 2 days to process my email but it became complicated and had to wait 3 January 2024. This is a pain, it doesn't make transactions easier, it actually slows down transactions.",negatif,netral,negatif
184,sering terjadi BUG saat membuka,BUG often occurs when opening,netral,netral,netral
185,"Malah ngk Bisa TF lagi dari Aplikasinya Sinyal Bagus semua 4g malah, setiap akhir bulan pasti eror nih aplikasi","In fact, I can't TF anymore from the application. The signal is good, all 4G, in fact, at the end of every month, the application will error out.",positif,netral,negatif
186,Mantap,Great,positif,positif,positif
187,Satu kata buat cs nya begoooo benar ditanya berbelit terus ga paham ttg banknya sendiri,"One word for the CS, it's really true that they ask complicated questions and don't understand about the bank itself",positif,netral,negatif
188,"mau login aj susah, payahðŸ‘Ž","I just want to log in, it's hard, it's a pain👎",netral,netral,negatif
189,"Transaksi sering gagal tapi saldo tetap terpotong, respon penanganan sangat lambat dan aplikasi juga sering mengalami error. Sangat merugikan pengguna, saya menyesal memakai octo mobile, saldo saya sering hilang karna gagal transaksi namun pihak cimb niaga sangat sangat lamban sekali dalam menangani masalah ini seakan-akan transaksi gagal merupakan kesalahan pengguna, alias aplikasi bapuk!","Transactions often fail but the balance is still deducted, the handling response is very slow and the application often experiences errors. It's very detrimental to users, I regret using Octo Mobile, my balance often disappears due to failed transactions but CIMB Niaga is very, very slow in handling this problem as if the failed transaction is the user's fault, aka the application is a badass!",negatif,netral,negatif
190,Kenapa gbs login. Kode pascode nya berulang kali ga terkirim2 SMS nya...,Why don't you log in? The passcode is repeatedly not sent by SMS...,netral,netral,negatif
191,Sangat membantu nasabah.,Very helpful to customers.,positif,positif,positif
192,"Aplikasi berat,sering error ,sudah berapa kali top up pulsa hp dan pulsa listrik gagal tapi saldo terpotong,dan kalo pengaduan harus nunggu 1 minggu","The application is heavy, there are frequent errors, how many times have top ups for cell phone credit and electricity credit failed but the balance has been deducted, and if you complain you have to wait 1 week",negatif,netral,negatif
193,Kecewa banget sama octo di keluarin terus sama taik ini ... Disuruh masukin no kartu 4digit lagi alah nyesal pke rek ini ... Enakan octo dulu,Very disappointed with the octo being taken out and then the same as this... Being told to enter a 4 digit card number again I regret using this account... Use the octo first,negatif,netral,negatif
194,Aplikasi muter,Play application,positif,positif,netral
195,Smoga jaya terus...,Good luck...,positif,positif,positif
196,Cepat fsn amsn,Hurry fsn amsn,netral,netral,positif
197,"Tf dari octo ke rek utama.. Saldo kepotong tp tf gak masuk... Kacauuuuuuuuu.,.","TF from octo to main account.. The balance is cut but the TF doesn't come in... It's a mess.,.",negatif,netral,negatif
198,"Si tukang gabut bikin Aplikasi PerbankanðŸ¤£ Daftar sulit, Login gabisa","The bricklayer makes a banking application🤣 Registering is difficult, can't log in",negatif,netral,negatif
199,goooddddddddd niceeeeee,goooddddddd niceeeeeee,netral,netral,positif
200,"parah, transaksi dari octo pay ke tabungan gagal 199.800,terus saldo ilang gitu aja gabalik lagi ke octo pay, udah hubungin via gmail, ig lama banget dari pagi jam 07:00 sampe sekarng 21:00 belum ada kabar lagi, kecewa banget sama pelayanan cimb","bad, transaction from octo pay to savings failed 199,800, then the balance disappeared like that and couldn't go back to octo pay, I contacted via gmail, ig took a really long time from morning 07:00 until now 21:00 no news yet, really disappointed with the service cimb",negatif,netral,negatif
201,"aplikasi maling uang orang sering sekali eror saldo kepotong uang tidak keluar semoga orang"" cimb masuk neraka amminnn ya allah...","The application that steals people's money often has balance errors, the money doesn't come out, I hope CIMB people go to hell, amminn ya Allah...",negatif,netral,negatif
202,"Jangan sering pembaharuan dong. Kalau tdk diperbaharui, tdk bisa dibuka. Memangnya tdk makan data?","Don't update too often. If it is not renewed, it cannot be opened. Why don't you eat data?",netral,netral,netral
203,Tinggal pencet aja,Just press,netral,netral,netral
204,"Ribet sumpah. Mau login ae kudu berbelit-belit. Udah masukin users id, trs katanya mau disend password, eh tapi gak muncul"". Ke atmnya buat ambil duit juga gak bisa dicairin, padahal saldo masih 70.000, mau diambil 50.000 gak bisa hadehhhhh","It's complicated I swear. If you want to log in, you have to be complicated. I entered the user ID, then it said I wanted to send the password, but it didn't appear."" I also couldn't withdraw the money from the ATM, even though the balance was still 70,000, I wanted to withdraw 50,000 but I couldn't get it hahaha",negatif,netral,negatif
